Var1	Var2	correlation	pvalue	source_var1	source_var2
1,2-Dichlorbenzene	1,2-Dichlorbenzene	1	0	Industrial use	Industrial use
1,2-Dichlorbenzene	1,2,3,7,8-Pentachlorodibenzodioxin	0.13	0.10530870758912614	Industrial use	Food
1,2-Dichlorbenzene	1,2,4-Trichlorobenzene	0.19	0.1605084946705309	Industrial use	Industrial use
1,2-Dichlorbenzene	1,2,4,5-Tetrachlorobenzene	-0.02	0.40236392746868166	Industrial use	Industrial use
1,2-Dichlorbenzene	2,3,7,8-Tetrachlorodibenzofuran	0.12	0.012201860100535106	Industrial use	Food
1,2-Dichlorbenzene	2,4,5-Trichlorophenol	0.08	0.001784456064979676	Industrial use	Industrial use
1,2-Dichlorbenzene	Acenaphthene	-0.04	0.14094585722690853	Industrial use	Food
1,2-Dichlorbenzene	Anthracene	-0.12	0.006628963944407134	Industrial use	Food
1,2-Dichlorbenzene	b-Hexachlorocyclohexane	0.23	2.5919446898865232e-6	Industrial use	Legacy
1,2-Dichlorbenzene	Benz[a]anthracene	0.09	0.026229599807155616	Industrial use	Food
1,2-Dichlorbenzene	Benzo[b]fluoranthene	-0.03	0.944262524444033	Industrial use	Food
1,2-Dichlorbenzene	Bromacil	-0.03	0.6434841388202002	Industrial use	Farming/Green space
1,2-Dichlorbenzene	Bromoform	-0.06	0.44183450147386283	Industrial use	other
1,2-Dichlorbenzene	Chrysene	0.03	0.8517645332920316	Industrial use	Food
1,2-Dichlorbenzene	cis-Permethrin	-0.06	0.03359773500956383	Industrial use	Indoor dust
1,2-Dichlorbenzene	d-Lindane	0.32	2.760568450734226e-9	Industrial use	Legacy
1,2-Dichlorbenzene	DEET	-0.05	0.11760954515693682	Industrial use	Indoor dust
1,2-Dichlorbenzene	Diethyl Phthalate	-0	0.4945505151618179	Industrial use	Indoor dust
1,2-Dichlorbenzene	Endrin	-0.25	5.496210393238323e-8	Industrial use	Legacy
1,2-Dichlorbenzene	Ethion	-0.03	0.9375486123104776	Industrial use	Legacy
1,2-Dichlorbenzene	Etridiazole	0.16	0.24007597983869403	Industrial use	Farming/Green space
1,2-Dichlorbenzene	Fluoranthene	0.14	1.1594062020477047e-4	Industrial use	Food
1,2-Dichlorbenzene	Fonofos	0.05	0.543803514529043	Industrial use	Legacy
1,2-Dichlorbenzene	Hexachlorbutadiene	0.18	3.276211498967869e-6	Industrial use	Industrial use
1,2-Dichlorbenzene	Isosafrole	0.19	0.2488633794353377	Industrial use	Legacy
1,2-Dichlorbenzene	Lindane	0.23	7.98606221873761e-10	Industrial use	Legacy
1,2-Dichlorbenzene	Malathion	0.15	0.01640502292201001	Industrial use	Indoor dust
1,2-Dichlorbenzene	Mirex	-0.02	0.32390841133972936	Industrial use	Legacy
1,2-Dichlorbenzene	p,p'-DDD	0.04	0.5244748391545986	Industrial use	Legacy
1,2-Dichlorbenzene	p,p'-DDE	0.11	0.076087050135618	Industrial use	Legacy
1,2-Dichlorbenzene	Parathion	-0.13	1.6410587171517013e-4	Industrial use	Legacy
1,2-Dichlorbenzene	PCB 128	0.45	7.235091584254126e-15	Industrial use	Legacy PCB
1,2-Dichlorbenzene	PCB 18	0.13	0.12690588697311844	Industrial use	Legacy PCB
1,2-Dichlorbenzene	PCB 203	-0.05	0.17031976389443437	Industrial use	Legacy PCB
1,2-Dichlorbenzene	PCB 33	-0.14	0.01723590855891373	Industrial use	Legacy PCB
1,2-Dichlorbenzene	PCB 44	0.2	9.422655749370135e-4	Industrial use	Legacy PCB
1,2-Dichlorbenzene	PCB 49	0.22	0.0026090932245921264	Industrial use	Legacy PCB
1,2-Dichlorbenzene	PCB 52	-0.1	0.1125408850959965	Industrial use	Legacy PCB
1,2-Dichlorbenzene	PCB 60	-0.15	2.0639531260547358e-4	Industrial use	Legacy PCB
1,2-Dichlorbenzene	PCB 77	-0.05	0.5219548300364389	Industrial use	Legacy PCB
1,2-Dichlorbenzene	PCB 81	0.03	0.18394729549207423	Industrial use	Legacy PCB
1,2-Dichlorbenzene	Phenacetin	-0.08	0.026379604066971315	Industrial use	other
1,2-Dichlorbenzene	Phenanthrene	0.03	5.140474518381528e-4	Industrial use	Food
1,2-Dichlorbenzene	Pyrene	0.1	0.0013009343379011833	Industrial use	Food
