chemical	mean_visit0	mean_visit1	sd_visit0	sd_visit1	gm_visit0	gm_visit1	median_visit0	median_visit1	iqr_visit0	iqr_visit1	source
1,2-Dichlorbenzene	0.1696673795715853	0.027057521330127468	1.4007581319491862	0.03641353249396515	0.003993090589055661	0.007514849781976923	0.00315	0.0048	0.025142698049109596	0.0477	industrial
1,2,3,7,8-Pentachlorodibenzodioxin	0.4017745341614906	0.17579678527607362	3.3487277476916404	0.5012178124110148	0.02266226624807406	0.02520540254821822	0.0204	0.0156	0.032700000000000014	0.06435	food
1,2,4-Trichlorobenzene	0.01729367088607595	0.002968367346938775	0.022569740019702526	0.00872824065524261	0.004027915055646014	9.771239867443274e-4	0.0045	6e-4	0.0501	0.001	industrial
1,2,4,5-Tetrachlorobenzene	0.0085432288726117	0.0035676056338028173	0.018729622398692698	0.012771192747159942	0.0014670885738578459	0.0011768631373214563	9e-4	0.0012	0.0021	0.0012000000000000001	industrial
2,3,7,8-Tetrachlorodibenzofuran	0.07915862068965517	0.10309591836734694	0.10646851019981407	0.16287365536523862	0.025331030065961133	0.030093457148429214	0.016050000000000002	0.0189	0.156	0.1404	food
2,4,5-Trichlorophenol	0.04808355369266308	0.035148507455755484	0.09536261530024451	0.04946634960422394	0.003107232402251129	0.01061455262514801	0.0012	0.0057	0.0146149968882604	0.09532500000000001	industrial
Acenaphthene	5.048895921019199	0.17360099811882684	10.705867040849352	0.20253828353052358	0.26757414321917794	0.03780498804169831	0.07724999999999999	0.09130303079567152	0.5516451619431949	0.35524709607604626	food
Anthracene	0.4282177140483928	0.12021888067542158	0.4692527914730025	0.24469804902241107	0.2080171883430897	0.02203229874806996	0.28115173846801206	0.018	0.47028213302665023	0.029400000000000006	food
b-Hexachlorocyclohexane	0.0056519779842223	0.006962222222222221	0.013008417060842012	0.019705703646886227	0.0012691192598943556	0.0015413271259707355	9e-4	0.0012	0.0027	0.0027	legacy
Benz[a]anthracene	0.7894783266799467	0.42820091499510804	2.211613183208602	0.7550827578756979	0.01640590243777598	0.04979738017785191	0.003	0.11775	0.449168886139542	0.19117499999999998	food
Benzo[b]fluoranthene	0.6274006600586706	0.4379343847397849	1.7605881929695684	0.9440467815800947	0.00391893393174365	0.051970097234525434	9e-4	0.08055	0.0039	0.1287	food
Bromacil	0.0027407623661915375	0.0048171428571428575	0.004339647219162564	0.011043628518238976	0.0012366945315694937	0.001619862558264142	0.0012	0.0012	0.00265719440548015	0.0033	agricultural
Bromoform	0.03525005755609787	0.022466311019457598	0.07192625438479233	0.06951247236955159	0.006027936530394796	0.007178278391991493	0.0066	0.0063999999999999994	0.0395364741616872	0.014025	other
Chrysene	6.196980149934094	0.4395432964607436	14.738566074453198	0.7234097639537805	0.02667488015009608	0.08736340650106558	0.0051	0.096	0.02826312330235428	0.48532500000000006	food
cis-Permethrin	0.05938235294117647	0.23673648648648657	0.07824078507181557	0.44564746635310093	0.03536416096011975	0.046616726368040366	0.033	0.029400000000000003	0.05415	0.166275	household dust
d-Lindane	0.03656917360466055	0.11541143511855809	0.10444118125706492	0.15197377546176782	0.005374825570338311	0.022048014068823705	0.003	0.071	0.0315846130191935	0.08538842521662074	legacy
DEET	0.6692157303370786	1.1664333333333332	1.5054079248510321	3.0907429289266815	0.1298974444120888	0.060146908965742235	0.3297	0.042300000000000004	0.7703999999999999	0.08775	household dust
Diethyl Phthalate	1.7408514138854054	1.121903396478521	2.1672706610031893	1.963021586528961	0.696458115715691	0.3330687600546709	0.9660072495306413	0.4602176128932717	2.233939378135499	0.8311259349565682	household dust
Endrin	1.2781142556078822	0.1958984017032866	1.7025848300981896	0.41248555319449814	0.2977633960129878	0.016549176321148315	0.4908178332409124	0.00764999999999999	1.6082939604634574	0.063375	legacy
Ethion	0.08509373199872405	0.05396671332634024	0.1638048344381805	0.06599848369259145	0.03630555147332477	0.016635609556233513	0.048	0.008549999999999999	0.07500053518908163	0.13267500000000002	legacy
Etridiazole	1.2299872704788126	0.03558339523934185	2.260506361646522	0.05456056893691203	0.011242360567539288	0.00917714215147952	0.0015	0.005050000000000001	0.033342760240535216	0.030068173435490467	agricultural
Fluoranthene	0.21834839808181705	0.24815158397218565	0.2409765741317403	0.3234445301136825	0.06189129374395713	0.0411452497957974	0.1180865473312878	0.0189	0.33864461397081325	0.38114999999999993	food
Fonofos	0.017510801193984304	0.013856179775280898	0.10131051234656277	0.07642845727014633	7.373170561770587e-4	0.0016119427343283727	3e-4	0.0015	6.000000000000001e-4	0.0019000000000000002	legacy
Hexachlorbutadiene	0.07326737994545071	0.03219625194781865	0.11850902164807264	0.04608503923450818	0.005267488299509451	0.006757019167409178	0.0018	0.006	0.10693227990334753	0.0896	industrial
Isosafrole	0.0034285714285714275	0.012034782608695652	0.005805081314862427	0.018242143434954373	0.0010294926668244035	0.0020554476772120687	4.5e-4	6e-4	0.00435	0.0172	legacy
Lindane	0.007422471910112358	0.04055234375	0.013888981512572778	0.04178900312121789	0.0012258816008426647	0.008379841477910918	6e-4	0.031200000000000006	0.0018	0.0933	legacy
Malathion	0.06914305435562902	0.040897857142857146	0.10750525011330937	0.09725705867956846	0.027025679131044943	0.015430181000563974	0.0282	0.0162	0.06783737959560071	0.023699999999999992	household dust
Mirex	0.05942474226804124	0.03020220106916888	0.05681172309869943	0.027476847532809625	0.04256441338660689	0.02110203328619193	0.0432	0.0204	0.0393	0.020474999999999997	legacy
p,p'-DDD	0.20195777279261518	0.009973443820496313	0.663733697729968	0.023046887303476205	0.013659905816576093	0.0033651285833543793	0.0111	0.0021	0.0132	0.02055	legacy
p,p'-DDE	0.008867266546196014	0.020168000000000002	0.017248420038333954	0.06231870494368916	0.0023453698509041127	0.003167362116574279	0.0012	0.0018	0.007949999999999995	0.006674999999999991	legacy
Parathion	8.286739002385929	56.3582814814815	19.049737119514994	168.38456395629703	1.6592885953613954	0.2192553705128258	2.5906064751416777	0.0423	5.5633859999999995	2.0667	legacy
PCB 128	0.04790649350649351	0.06937865389453621	0.09871673390226214	0.0811558099674402	0.018479343353378287	0.029632793831447277	0.0177	0.0501	0.03742499999999999	0.08746675894802534	legacy PCB
PCB 18	1.0119387246366047	0.027735391782691587	1.2958319039426989	0.03677007617607814	0.08204846543554929	0.005044378580900863	0.058272148439537916	0.0021	2.1355733113748614	0.0735	legacy PCB
PCB 203	0.07104339622641509	0.06029743589743589	0.06730381156526677	0.05902922229073566	0.052020933440876514	0.04291186249526004	0.05055	0.0411	0.05249999999999999	0.04945	legacy PCB
PCB 33	0.12388272059354666	0.5467491228070176	0.8095656109612607	1.7055187629452055	0.033088984128830004	0.011018980512620947	0.0372	0.00749999999999999	0.04380552041496932	0.0159	legacy PCB
PCB 44	11.473995302013426	0.15152420920234336	23.39771202592871	0.34017797492804613	0.073303718906273	0.014654516460899264	0.17579999999999998	0.0267	13.2213	0.1847	legacy PCB
PCB 49	0.8035929378241075	2.790126738145095	1.2987491114462142	5.044380524553374	0.1009622068339818	0.4107893448745819	0.1857	1.0773914760852703	1.0970927419327647	2.4134499071616102	legacy PCB
PCB 52	1.4232948198853785	0.04083107268079136	3.015162630065802	0.08026965721969236	0.004669353209714619	0.01034117388993775	9e-4	0.0072	0.007668099731721717	0.0899	legacy PCB
PCB 60	0.025406999999999992	0.19686081081081078	0.06442195694298364	0.5752952642303857	0.002540528195032825	0.01068396020378503	0.0012	0.003	0.0012749999999999999	0.20400000000000001	legacy PCB
PCB 77	0.3679528301886792	0.07893846153846153	1.428786530238829	0.26484244590670525	0.013469860443146823	0.004440714461954357	0.0084	0.0027	0.006525	0.0048000000000000004	legacy PCB
PCB 81	0.7339911764705885	0.0036470588235294117	2.0769196212395147	0.005092911977876566	0.007067052135555348	0.0024329881454326543	0.00405	0.0026	0.0048000000000000004	0.0027749999999999997	legacy PCB
Phenacetin	1.470698826919513	0.5118004306406874	2.580262773087543	1.814961611387252	0.11608030434419701	0.037227981487849005	0.0606	0.0207	1.7946	0.12060000000000001	other
Phenanthrene	0.5943745522482645	0.390327049682428	0.5358663306394106	0.38675594971438015	0.2909533348734879	0.24655704399378742	0.5115546711269329	0.2235	0.8988034916301318	0.49532006098694653	food
Pyrene	0.4665413285942894	0.229600107926225	0.3867849455321032	0.3846325473976824	0.22959990952392467	0.037055293168425554	0.3874179908709081	0.0186	0.5882493136207523	0.3452461618689809	food
Safrole	6.090848847404338	0.0282703947368421	18.88837212223583	0.14253549428464818	0.03412714148319109	0.00560522683239191	0.0054	0.00615	1.79679688292648	0.011474999999999999	legacy
Simazine	0.016782683618162188	0.038490666666666666	0.0156282562528548	0.023207636053057434	0.006820003513097547	0.019033705738814934	0.01143991485324639	0.0555	0.034350000000000006	0.04500000000000001	agricultural
trans-Permethrin	5.2596384375	0.05193421052631579	8.927941674769583	0.058629011140973734	0.6647765847670565	0.03693548314237088	0.39944999999999997	0.03315	7.168989750000001	0.033624999999999995	household dust
Tri(2-chloroethyl) phosphate	0.8520350697941148	0.1224897435897436	1.5839300795438913	0.5077192660715104	0.11544929030198839	0.008751117559038023	0.038400000000000004	0.0051	1.4882416576603386	0.15097500000000003	household dust
Triadimefon	0.13800596026490067	2.221392224891194	0.4674108695401063	2.9137232099877	0.03533352033159946	0.6333557508651203	0.0357	0.702	0.132	3.3157783209557894	agricultural
