chemical	missing	belowLOD	detected	proportion_detected
1,2-Dibromo-3-Chloropropane	0	190	158	0.4540229885057471
1,2-Dichlorbenzene	0	107	241	0.6925287356321839
1,2,3-Trichlorobenzene	0	164	184	0.5287356321839081
1,2,3,4,7,8-Hexachlorodibenzodioxin	0	186	162	0.46551724137931033
1,2,3,7,8-Pentachlorodibenzodioxin	0	12	336	0.9655172413793104
1,2,3,7,8-Pentachlorodibenzofuran	0	185	163	0.46839080459770116
1,2,4-Trichlorobenzene	0	164	184	0.5287356321839081
1,2,4,5-Tetrachlorobenzene	0	174	174	0.5
1,3-Dichlorobenzene	0	194	154	0.4425287356321839
1,4-Dichlorobenzene	0	26	322	0.9252873563218391
2-Chlorophenol	0	237	111	0.31896551724137934
2,3,7,8-Tetrachlorodibenzo-p-dioxin	0	192	156	0.4482758620689655
2,3,7,8-Tetrachlorodibenzofuran	0	128	220	0.632183908045977
2,4,4'-Tribromodiphenyl ether	0	175	173	0.49712643678160917
2,4,5-Trichlorophenol	0	159	189	0.5431034482758621
a-Lindane	0	163	185	0.5316091954022989
Acenaphthene	0	106	242	0.6954022988505747
Alachlor	0	326	22	0.06321839080459771
Anthracene	0	8	340	0.9770114942528736
Atrazine	0	73	275	0.7902298850574713
b-Hexachlorocyclohexane	0	118	230	0.6609195402298851
Benz[a]anthracene	0	128	220	0.632183908045977
Benzo[a]pyrene	0	171	177	0.5086206896551724
Benzo[b]fluoranthene	0	166	182	0.5229885057471264
Benzo[k]fluoranthene	0	175	173	0.49712643678160917
Bromacil	0	164	184	0.5287356321839081
Bromoform	0	155	193	0.5545977011494253
Carbazole	0	287	61	0.1752873563218391
Chloroneb	0	217	131	0.3764367816091954
Chlorpyrifos	0	195	153	0.4396551724137931
Chrysene	0	135	213	0.6120689655172413
cis-Chlordane	0	121	227	0.6522988505747126
cis-Permethrin	0	148	200	0.5747126436781609
Cyanazine	0	276	72	0.20689655172413793
d-Lindane	51	35	262	0.7528735632183908
Decachlorobiphenyl	0	148	200	0.5747126436781609
DEET	0	141	207	0.5948275862068966
Diazinone	0	246	102	0.29310344827586204
Dibenzofuran	0	22	326	0.9367816091954023
Dichlorvos	0	215	133	0.382183908045977
Diethyl Phthalate	0	58	290	0.8333333333333334
Endrin	0	174	174	0.5
Ethion	0	148	200	0.5747126436781609
Etridiazole	0	87	261	0.75
Fluoranthene	0	95	253	0.7270114942528736
Fluorene	0	233	115	0.33045977011494254
Fonofos	0	139	209	0.6005747126436781
Heptachlor	0	185	163	0.46839080459770116
Heptachlor epoxide	0	148	200	0.5747126436781609
Hexachlorbutadiene	0	157	191	0.5488505747126436
Hexachlorethane	0	200	148	0.42528735632183906
Hexachlorobenzene	0	197	151	0.4339080459770115
Hexachlorocyclopentadiene	0	177	171	0.49137931034482757
Isosafrole	0	126	222	0.6379310344827587
Lindane	0	123	225	0.646551724137931
Malathion	0	45	303	0.8706896551724138
Methidathion	0	263	85	0.2442528735632184
Metolachlor	0	324	24	0.06896551724137931
Metribuzin	0	54	294	0.8448275862068966
Mirex	0	172	176	0.5057471264367817
o,p'-DDD	0	176	172	0.4942528735632184
o,p'-DDE	0	194	154	0.4425287356321839
o,p'-DDT	0	177	171	0.49137931034482757
p,p'-DDD	0	174	174	0.5
p,p'-DDE	0	119	229	0.6580459770114943
p,p'-DDT	0	179	169	0.48563218390804597
Parathion	0	147	201	0.5775862068965517
PCB 101	0	204	144	0.41379310344827586
PCB 105	0	188	160	0.45977011494252873
PCB 110	0	195	153	0.4396551724137931
PCB 114	0	198	150	0.43103448275862066
PCB 118	0	190	158	0.4540229885057471
PCB 123	0	199	149	0.4281609195402299
PCB 126	0	199	149	0.4281609195402299
PCB 128	0	57	291	0.8362068965517241
PCB 132	0	185	163	0.46839080459770116
PCB 138	0	206	142	0.40804597701149425
PCB 141	0	207	141	0.4051724137931034
PCB 146	0	211	137	0.3936781609195402
PCB 149	0	206	142	0.40804597701149425
PCB 153	0	217	131	0.3764367816091954
PCB 156	0	197	151	0.4339080459770115
PCB 157	0	192	156	0.4482758620689655
PCB 158	0	176	172	0.4942528735632184
PCB 167	0	189	159	0.45689655172413796
PCB 169	0	185	163	0.46839080459770116
PCB 170	0	197	151	0.4339080459770115
PCB 174	0	197	151	0.4339080459770115
PCB 177	0	185	163	0.46839080459770116
PCB 18	0	148	200	0.5747126436781609
PCB 180	0	185	163	0.46839080459770116
PCB 183	0	201	147	0.4224137931034483
PCB 187	0	197	151	0.4339080459770115
PCB 189	0	183	165	0.47413793103448276
PCB 194	0	156	192	0.5517241379310345
PCB 195	0	194	154	0.4425287356321839
PCB 199	0	194	154	0.4425287356321839
PCB 203	0	158	190	0.5459770114942529
PCB 206	0	198	150	0.43103448275862066
PCB 33	0	157	191	0.5488505747126436
PCB 44	0	82	266	0.764367816091954
PCB 49	0	21	327	0.9396551724137931
PCB 52	0	169	179	0.514367816091954
PCB 56	0	189	159	0.45689655172413796
PCB 60	0	168	180	0.5172413793103449
PCB 66	0	193	155	0.4454022988505747
PCB 70	0	222	126	0.3620689655172414
PCB 74	0	196	152	0.4367816091954023
PCB 77	0	173	175	0.5028735632183908
PCB 8	0	199	149	0.4281609195402299
PCB 81	0	171	177	0.5086206896551724
PCB 87	0	201	147	0.4224137931034483
PCB 95	0	186	162	0.46551724137931033
PCB 97	0	205	143	0.4109195402298851
PCB 99	0	206	142	0.40804597701149425
Pentachlorobenzene	0	182	166	0.47701149425287354
Phenacetin	0	30	318	0.9137931034482759
Phenanthrene	0	32	316	0.9080459770114943
Pyrene	0	97	251	0.7212643678160919
Safrole	0	56	292	0.8390804597701149
Simazine	0	171	177	0.5086206896551724
trans-Chlordane	0	204	144	0.41379310344827586
trans-Permethrin	0	152	196	0.5632183908045977
Tri(2-chloroethyl) phosphate	0	139	209	0.6005747126436781
Triadimefon	0	33	315	0.9051724137931034
YSAD	0	0	0	0
