chemical	coefficient	pvalue	working_corr	robust.se	fdr	outcome
x1_2_dichlorbenzene	0.03740760346199119	0.25475850683833867	0	0.03284632327605247	0.9412916292355785	Global score
x1_2_3_7_8_pentachlorodibenzodioxin	-0.04259934235867246	0.08854419418859207	0	0.025012419896076755	0.6400219042711089	Global score
x1_2_4_trichlorobenzene	-0.004030389527902678	0.8762231367930587	0	0.025875836180109395	0.9412916292355785	Global score
x1_2_4_5_tetrachlorobenzene	-0.008525708499829723	0.7014522664344007	0	0.02223938536378082	0.9412916292355785	Global score
x2_3_7_8_tetrachlorodibenzofuran	0.013565503553904153	0.6363135981197499	0	0.028688248154286167	0.9412916292355785	Global score
x2_4_5_trichlorophenol	-0.011860538093697796	0.6535648984220976	0	0.02642632283287744	0.9412916292355785	Global score
acenaphthene	0.03680521510040016	0.30970580348988974	0	0.03623132752462718	0.9412916292355785	Global score
anthracene	-0.05756566025229999	0.1855256210654436	0	0.04348082768407956	0.9090755432206737	Global score
b_hexachlorocyclohexane	0.016000477097613642	0.5310803777709983	0	0.025545272702323277	0.9412916292355785	Global score
benz_a_anthracene	-0.0107140271469118	0.6632235351378887	0	0.024603537747023098	0.9412916292355785	Global score
benzo_b_fluoranthene	-0.009108946494808073	0.6963301054878748	0	0.023339564592711342	0.9412916292355785	Global score
bromacil	0.04703162000760789	0.05588066914035902	0	0.02459857647167136	0.6400219042711089	Global score
bromoform	0.0015312987121372315	0.9505955611618334	0	0.0247147493260198	0.9505955611618334	Global score
chrysene	0.013514851117516142	0.5681477062119746	0	0.023677798016110058	0.9412916292355785	Global score
cis_permethrin	0.01413343904124119	0.6762549161982742	0	0.033846140068448244	0.9412916292355785	Global score
d_lindane	-0.007439778809354228	0.8394984219931023	0	0.03673328154218711	0.9412916292355785	Global score
deet	0.015411103938003969	0.5915657557741099	0	0.02872160020379244	0.9412916292355785	Global score
diethyl_phthalate	-0.027874307385565282	0.3315136260379403	0	0.028704747508351825	0.9412916292355785	Global score
endrin	-0.06556059652676616	0.07669967796715794	0	0.037036435004635986	0.6400219042711089	Global score
ethion	0.01645920710056692	0.5795500162394429	0	0.029707501171048933	0.9412916292355785	Global score
etridiazole	0.014609172495300573	0.6268489208828253	0	0.030049713448950025	0.9412916292355785	Global score
fluoranthene	0.007631730830603216	0.8836615294864614	0	0.052154537458033716	0.9412916292355785	Global score
fonofos	-0.00589886370327528	0.8229600974004831	0	0.02636488737026733	0.9412916292355785	Global score
